title,organism,bio_project_accession,id
RNA-seq profiles of germinal center B cells from spleens of wild-type and Il21r-deficient mice after immunization with NP-KLH,Mus musculus (10090),PRJNA764732,764732
Dirty mice as an alternative for preclinical vaccine testing,Mus musculus (10090),PRJNA758072,758072
"Expression data from germinal center (GC) B cells of Tnfrsf13B wild type, knockout and A144E mutant mice 10 days post immunization with allogenic cells",Mus musculus (10090),PRJNA757685,757685
Transcriptomic analysis of ChAdOx/MVA P1A vaccine-induced P1A-35-43-specific CD8+ T-cells by single-cell RNA-sequencing,Mus musculus (10090),PRJNA751026,751026
Transcriptomic analysis of 15V4T3 tumours from ChAd/MVA vaccine + anti-PD-1 treated mice by RNA-sequencing,Mus musculus (10090),PRJNA750730,750730
Single Cell RNA-seq of the draining lymph nodes of mice treated with either 3M052 or Yellow Fever Vaccine (YF),Mus musculus (10090),PRJNA748035,748035
Single cell immune response to the mRNA SARS-CoV-2 vaccine and yellow fever in the lymph nodes of mice,Mus musculus (10090),PRJNA742383,742383
Transcriptome analysis of BMDCs treated with nanovesicle vaccines,Mus musculus (10090),PRJNA741932,741932
Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling [scRNA-Seq],Mus musculus (10090),PRJNA738836,738836
Transcriptome analysis of T cells from mice immunized with Sindbis Virus Spike and/or aOX40,Mus musculus (10090),PRJNA735259,735259
Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling,Mus musculus (10090),PRJNA731906,731906
Gene expression on SARS CoV-2 specific CD8 T cells after SARS CoV-2 vaccination,Mus musculus (10090),PRJNA726170,726170
Gut IgA Enhances Systemic IgG Responses to Pneumococcal Vaccines Through the Commensal Microbiota,Mus musculus (10090),PRJNA725246,725246
Effect of T-bet on the transcriptome of CD4+ T cells after CII immunization,Mus musculus (10090),PRJDB11459,719319
The mRNA-LNP platform’s lipid nanoparticle component used in preclinical vaccine studies is highly inflammatory,Mus musculus (10090),PRJNA704856,704856
Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,Mus musculus (10090),PRJNA693704,693704
Single cell transcriptional analysis reveals the effects of mucosal vaccination on mouse lung CD4 T cell compartments,Mus musculus (10090),PRJNA691282,691282
Gene expression signatures to the radiation attenuated Schistosome Vaccine,Mus musculus (10090),PRJNA688890,688890
Vaccine-elicited CD4 T cells prevent the deletion of antiviral B cells in chronic infection,Mus musculus (10090),PRJNA677948,677948
Vaccine-elicited CD4 T cells prevent the deletion of antiviral B cells in chronic infection,Mus musculus (10090),PRJNA672903,672903
"The Effect of Calcium on Activity, Immunogenicity and Efficacy of a Recombinant N1/N2 Neuraminidase Vaccine",Mus musculus (10090),PRJNA671601,671601
