gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,adjuvant,administration_route,main_sample_source,specific_sample_source,sequencing
GSE207389,Splenic memory CD8 T cell signature of enhanced responsiveness to vaccine boost,36865556,Virus,MVA,MVA,VV,NA,NA,IM,Spleen,NA,Bulk
GSE104337,Modeling of the Response to a Multiple Vaccination Schedule Using the Adjuvant Neisseria meningitidis Porin B,NA,Bacteria,N. meningitidis,OVA,SU,Yes,PorB,SC,Spleen,NA,Microarray
GSE104337,Modeling of the Response to a Multiple Vaccination Schedule Using the Adjuvant Neisseria meningitidis Porin B,NA,Bacteria,N. meningitidis,PorB,SU,Yes,PorB,SC,Spleen,NA,Microarray
GSE131914,"Comparative transcriptomics between species attributes reactogenicity pathways induced by the capsular group B meningococcal vaccine, 4CMenB, to the membrane-bound endotoxin of its outer membrane vesicle component.",31551511,Bacteria,N. meningitidis,Bexsero,SU,NA,NA,IM,Blood,NA,Bulk
GSE132199,Comparative transcriptomics between species to assess the immune mechanisms underlying the increased reactogenicity of the four component meningococcal capsular group B vaccine when given concomitantly with routinely-administered vaccines,31551511,Bacteria,N. meningitidis,Bexsero,SU,NA,NA,IM,Blood,NA,Bulk
GSE132199,Comparative transcriptomics between species to assess the immune mechanisms underlying the increased reactogenicity of the four component meningococcal capsular group B vaccine when given concomitantly with routinely-administered vaccines,31551511,Bacteria,N. meningitidis,Bexsero,SU,NA,NA,IM,Blood,NA,scRNAseq
GSE139529,Comparison of whole blood transcriptional changes induced by menignoccocal capsular group B vaccines in mice,34717548,Bacteria,N. meningitidis,fHbp,VV,NA,NA,IM,Blood,NA,Bulk
GSE224584,mRNA and lncRNA profiling of mice spleens inoculated with group ACYW135 meningococcal polysaccharide vaccine,37631863,Bacteria,N. meningitidis,ACWY,PS,NA,NA,No info,Spleen,NA,Bulk
GSE224584,mRNA and lncRNA profiling of mice spleens inoculated with group ACYW135 meningococcal polysaccharide vaccine,37631863,Bacteria,N. meningitidis,ACWY,PS,NA,NA,No info,Blood,NA,Bulk
GSE112920,IL-27 in vaccine elicited cellular immunity,30194241,Adjuvant,None,Adjuvant,ADJ,Yes,Poly I:C and Anti-CD40,IPeri,Spleen,NA,Bulk
GSE267045,Effect of mRNA vaccine on Epigenetic and Transcriptomic Profiles of Kupffer Cells (RNA-Seq),39774150,NA,None,OVA,RNA,NA,NA,IM,Liver,resident macrophages,Bulk
GSE279372,Lipid nanoparticles as adjuvant of Norovirus VLP vaccine augment cellular and humoral immune responses in a TLR 9- and type I IFN-dependent pathway,39494905,Virus,Norovirus,GI.1-GII.4,SU,Yes,LNP,IM,Spleen,NA,Bulk
GSE279372,Lipid nanoparticles as adjuvant of Norovirus VLP vaccine augment cellular and humoral immune responses in a TLR 9- and type I IFN-dependent pathway,39494905,Virus,Norovirus,GI.1-GII.4,SU,Yes,Alum,IM,Spleen,NA,Bulk
GSE188659,B cell intrinsic TBK1 is essential for germinal center formation during infection and vaccination,34910106,Protozoa,Plasmodium,NIP-OVA,SU,Yes,Alum,ID,Germinal center,B cells,Bulk
GSE111110,Gene expression of liver of vaccination-protected mice in response to early patent infections of Plasmodium chabaudi blood-stage malaria,29843710,Protozoa,Plasmodium,Whole,INF,NA,NA,SC,Liver,NA,Microarray
GSE129133,Vaccination accelerates hepatic erythropoiesis induced by blood-stage malaria,31996238; 33202767; 35214745,Protozoa,Plasmodium,Whole,AT,Yes,Freund,SC,Liver,NA,Microarray
GSE122637,Transcriptome of  draining lymph nodes from the mice immunized with RABV,30906301,Virus,Rabies,Whole,AT,NA,NA,No info,Lymph node,NA,Bulk
GSE143617,Respiratory syncytial virus (RSV) F subunit vaccine with adjuvants affect immunity in BALB/c mice,33013922,Virus,RSV,F protein,SU,Yes,AS02,IM,Blood,NA,Bulk
GSE143617,Respiratory syncytial virus (RSV) F subunit vaccine with adjuvants affect immunity in BALB/c mice,33013922,Virus,RSV,F protein,SU,Yes,AS03,IM,Blood,NA,Bulk
GSE272499,Recombinant RSV G protein vaccine induces enhanced respiratory disease via IL-13 and mucin overproduction,39394212,Virus,RSV,G protein,SU,NA,NA,SC,Lung,NA,Bulk
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,SC,Spleen,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,SC,Spleen,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,IM,Spleen,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,IM,Spleen,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,IV,Spleen,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,IV,Spleen,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,SC,Kidney,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,SC,Kidney,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,IM,Kidney,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,IM,Kidney,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,IV,Kidney,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,S. aureus,lsdB,SU,NA,NA,IV,Kidney,NA,BCRseq
GSE173361,Gut IgA Enhances Systemic IgG Responses to Pneumococcal Vaccines Through the Commensal Microbiota,NA,Bacteria,S. pneumoniae,NA,No info,NA,NA,No info,Spleen,NA,Bulk
GSE150847,"Generation of a Broadly Useful Model for COVID-19 Pathogenesis, Vaccination, and Treatment",32643603,Virus,SARS-CoV-2,"Structural proteins, VRPs from VEEV",RNA,NA,NA,IN,Lung,NA,Bulk
GSE155536,A single-dose intranasal vaccination elicits systemic and mucosal immunity against SARS-CoV-2,NA,Virus,SARS-CoV-2,Spike + nano STING,RNA,Yes,Liposome,IN,Liver,NA,scRNAseq
GSE167521,The mRNA-LNP platform’s lipid nanoparticle component used in preclinical vaccine studies is highly inflammatory,33688649,Virus,SARS-CoV-2,LNP,RNA,NA,NA,ID,Skin,NA,Bulk
GSE173567,Gene expression on SARS CoV-2 specific CD8 T cells after SARS CoV-2 vaccination,34648369,Virus,SARS-CoV-2,Spike,VV,NA,NA,IM,Spleen,TCD8,scRNAseq
GSE179131,Single cell immune response to the mRNA SARS-CoV-2 vaccine and yellow fever in the lymph nodes of mice,NA,Virus,SARS-CoV-2,Spike,AT,NA,NA,IM,Lymph node,NA,scRNAseq
GSE201266,Variant-specific vaccination induces systems immune responses and potent in vivo protection against SARS-CoV-2 [scRNA-seq],NA,Virus,SARS-CoV-2,Spike Omicron,RNA,NA,NA,No info,Spleen,NA,scRNAseq
GSE201266,Variant-specific vaccination induces systems immune responses and potent in vivo protection against SARS-CoV-2 [scRNA-seq],NA,Virus,SARS-CoV-2,Spike Wuhan,RNA,NA,NA,No info,Spleen,NA,scRNAseq
GSE217200,Adenosine deaminase augments SARS-CoV-2 specific cellular and humoral responses in aged mouse models of immunization and challenge,36999023,Virus,SARS-CoV-2,Spike,DNA,NA,NA,IM,Lymph node,NA,scRNAseq
GSE217200,Adenosine deaminase augments SARS-CoV-2 specific cellular and humoral responses in aged mouse models of immunization and challenge,36999023,Virus,SARS-CoV-2,Spike,DNA,NA,NA,IM,Spleen,NA,scRNAseq
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,RBD,VV,NA,NA,IM,Respiratory secretion,NA,Bulk
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,RBD,VV,NA,NA,IN,Respiratory secretion,NA,Bulk
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,RBD,VV,NA,NA,IN,Blood,NA,scRNAseq
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,RBD,VV,NA,NA,IM,Blood,NA,scRNAseq
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,Spike,VV,NA,NA,IM,Respiratory secretion,NA,Bulk
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,Spike,VV,NA,NA,IN,Respiratory secretion,NA,Bulk
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,Spike,VV,NA,NA,IN,Blood,NA,scRNAseq
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,Spike,VV,NA,NA,IM,Blood,NA,scRNAseq
GSE227647,Intranasal delivery of NS1-deleted influenza virus vectored COVID-19 vaccine restrains the SARS-CoV-2 inflammatory response (Mouse Lung RNA-seq Data),37433761,Virus,SARS-CoV-2,dNS1-RBD,VV,NA,NA,IN,Lung,NA,Bulk
GSE260817,Time-dependent enhancement of mRNA vaccines by 4-1BB costimulatory antibodies,39432667,Virus,SARS-CoV-2,Spike,RNA,NA,NA,IM,Spleen,TCD8,Bulk
GSE261311,Vaccine based on immune evasion mutations integrated RBD protein have broad protection against SARS-CoV-2 [mRNA-seq],NA,Virus,SARS-CoV-2,RBD,SU,Yes,Vac-AS03-10,No info,Blood,NA,Bulk
GSE282488,Heterologous immunization combining vector- and mRNA-based vaccine elicits both robust innate and adaptive immune responses,40503231,Virus,SARS-CoV-2,Spike,RNA,NA,NA,IM,Lymph node,NA,scRNAseq
GSE282488,Heterologous immunization combining vector- and mRNA-based vaccine elicits both robust innate and adaptive immune responses,40503231,Virus,SARS-CoV-2,Spike,VV,NA,NA,IM,Lymph node,NA,scRNAseq
GSE292262,Bulk RNA sequencing data of femur bone marrow tissue derived from mice intramuscularly injected with a SARS-CoV2 mRNA vaccine,NA,Virus,SARS-CoV-2,Spike,RNA,NA,NA,IM,Bone marrow,NA,Bulk
GSE164094,Gene expression signatures to the radiation attenuated Schistosome Vaccine,33777004,Protozoa,Schistosome,Whole,AT,NA,NA,PerC,Blood,PBMCs,Microarray
GSE164094,Gene expression signatures to the radiation attenuated Schistosome Vaccine,33777004,Protozoa,Schistosome,Whole,AT,NA,NA,PerC,Skin,NA,Microarray
GSE222444,Gene expression signatures to the radiation attenuated Schistosome Vaccine,NA,Protozoa,Schistosome,Whole,AT,NA,NA,PerC,Blood,PBMCs,Microarray
GSE176203,Transcriptome analysis of T cells from mice immunized with Sindbis Virus Spike and/or aOX40,34394127,Virus,Sindbis virus,Spike,SU,NA,NA,IPeri,Spleen,T cells,Bulk
GSE225180,Natural killer cell transcriptomics following vaccinia virus infection of mice,36911702,Virus,Smallpox,Whole,AT,NA,NA,IN,Spleen,NK cells,Bulk
