title,organism,bio_project_accession,id
Unveiling novel conserved HIV-1 open reading frames encoding T-cell antigens using ribosome profiling.,Homo sapiens (9606),PRJNA1001014,1001014
"RNA-sequencing of primary human glioblastoma resected tissue before and after a personalized, neoantigen-based vaccine plus poly-ICLC (NeoVax); tissues from a Phase 1 clinical trial",Homo sapiens (9606),PRJNA997267,997267
Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon Immune Responses Associated with Long-term Survival in Malignant Glioma Patients [scRNA-seq],Homo sapiens (9606),PRJNA995768,995768
Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon Immune Responses Associated with Long-term Survival in Malignant Glioma Patients [Bulk RNA-seq],Homo sapiens (9606),PRJNA995746,995746
Blood gene expression profiles following vaccination in 2-month old infants,Homo sapiens (9606),PRJNA994567,994567
MicroRNA expression profile of human umbilical vein endothelial cells in response to Coxsackievirus A10 infection,Homo sapiens (9606),PRJNA991780,991780
Transcriptomic profiling of human macrophages following adjuvant stimulation,Homo sapiens (9606),PRJNA988002,988002
Stem-like T cells are associated with the pathogenesis of ulcerative colitis in humans [scRNAseq_Human],Homo sapiens (9606),PRJNA986870,986870
SLE Antibody-Secreting Cells Are Characterized by Enhanced Peripheral Maturation and Survival Programs [RNA-seq],Homo sapiens (9606),PRJNA986860,986860
Single-cell transcriptome and TCR analysis of human Cytomegalovirus (hCMV)-specific T cell memory reveals effector and pre-effectors of CD8+ and CD4+ cytotoxic T cells,Homo sapiens (9606),PRJNA986538,986538
RNA-Sequencing of Saliva Samples from COVID-Infected and Vaccinated Subjects,Homo sapiens (9606),PRJNA985624,985624
Human monocytes exposed to SARS-CoV-2 display features of trained immunity producing high levels of CXCL10 upon restimulation,Homo sapiens (9606),PRJNA984320,984320
scRNA-seq characterization of immune cell types among individuals with or without Long COVID,Homo sapiens (9606),PRJNA984257,984257
Single-cell transcriptomics of Marjolin ulcers,Homo sapiens (9606),PRJNA983741,983741
Transcriptomes analysis of COVID-19 Inactivated Vaccine and Protein Subunit Vaccine as Third Booster Dose in Elderly Adults over 70 Years of Age,Homo sapiens (9606),PRJNA979185,979185
Transcriptomic analysis of Tdap-IPV whole blood immune responses II,Homo sapiens (9606),PRJNA978103,978103
Clonal landscape of autoantibody-secreting plasmablasts in COVID-19 patients,Homo sapiens (9606),PRJNA976606,976606
Microfluidic immuno-serolomic assay reveals systems level association with COVID-19 pathology and vaccine protection,Homo sapiens (9606),PRJNA976394,976394
Immune landscape of PBMC based on single-cell rna sequancing in End Stage Renal Disease,Homo sapiens (9606),PRJNA975860,975860
Memory B cell development elicited by mRNA booster vaccinations in the elderly,Homo sapiens (9606),PRJNA975506,975506
Identification of early gene expression profiles governing long-lasting antibody responses to the Ebola vaccine Ad26.ZEBOV/MVA-BN-Filo,Homo sapiens (9606),PRJNA973064,973064
Effects of an aged tissue niche on the immune potency of dendritic cells using simulated microgravity,Homo sapiens (9606),PRJNA971136,971136
Mucosal immune responses to live attenuated influenza vaccine in young adults,Homo sapiens (9606),PRJNA961216,961216
Cytokinopathy with aberrant cytotoxic lymphocytes and profibrotic myeloid response in SARS-CoV-2 mRNA vaccine-associated myocarditis,Homo sapiens (9606),PRJNA958094,958094
Mpox vaccine and infection-driven human immune signatures,Homo sapiens (9606),PRJNA956545,956545
Single-cell RNA sequencing reveals the transcriptomic characteristics of peripheral blood mononuclear cells in hepatitis B vaccine non-responders,Homo sapiens (9606),PRJNA954417,954417
COVID-19 vaccination is associated with attenuation of inflammatory responses during breakthrough disease [small RNA-Seq],Homo sapiens (9606),PRJNA951718,951718
COVID-19 vaccination is associated with attenuation of inflammatory responses during breakthrough disease [long-read RNA-Seq],Homo sapiens (9606),PRJNA951717,951717
COVID-19 vaccination is associated with attenuation of inflammatory responses during breakthrough disease [Illumina RNA-Seq],Homo sapiens (9606),PRJNA951716,951716
Morphologic and molecular analysis of liver injury after SARS-CoV-2 vaccination reveals distinct characteristics [RNA-seq],Homo sapiens (9606),PRJNA951615,951615
Lack of strong innate immune reactivity renders macrophages alone unable to control productive Varicella-Zoster Virus infection in an isogenic human iPSC-derived neuronal co-culture model.,Homo sapiens (9606),PRJNA949617,949617
