geo_sample,subject_id,sex,treatment,tissue,timepoint,animal_replicate,strain,condition
GSM3407271,PERT_BL_4h_1,Female,Pentavac SD,PBMC,4,1,CB6F1,Pentavac SD_4_PBMC
GSM3407272,PERT_BL_4h_2,Female,Pentavac SD,PBMC,4,2,CB6F1,Pentavac SD_4_PBMC
GSM3407273,PERT_BL_4h_3,Female,Pentavac SD,PBMC,4,3,CB6F1,Pentavac SD_4_PBMC
GSM3407274,PERT_BL_4h_4,Female,Pentavac SD,PBMC,4,4,CB6F1,Pentavac SD_4_PBMC
GSM3407275,PERT_BL_4h_5,Female,Pentavac SD,PBMC,4,5,CB6F1,Pentavac SD_4_PBMC
GSM3407276,PolyIC_BL_4h_1,Female,PolyIC,PBMC,4,1,CB6F1,PolyIC_4_PBMC
GSM3407277,PolyIC_BL_4h_2,Female,PolyIC,PBMC,4,2,CB6F1,PolyIC_4_PBMC
GSM3407278,PolyIC_BL_4h_3,Female,PolyIC,PBMC,4,3,CB6F1,PolyIC_4_PBMC
GSM3407279,PolyIC_BL_4h_4,Female,PolyIC,PBMC,4,4,CB6F1,PolyIC_4_PBMC
GSM3407280,PolyIC_BL_4h_5,Female,PolyIC,PBMC,4,5,CB6F1,PolyIC_4_PBMC
GSM3407281,SAL_BL_4h_1,Female,saline,PBMC,4,1,CB6F1,saline_4_PBMC
GSM3407282,SAL_BL_4h_2,Female,saline,PBMC,4,2,CB6F1,saline_4_PBMC
GSM3407283,SAL_BL_4h_3,Female,saline,PBMC,4,3,CB6F1,saline_4_PBMC
GSM3407284,SAL_BL_4h_4,Female,saline,PBMC,4,4,CB6F1,saline_4_PBMC
GSM3407285,SAL_BL_4h_5,Female,saline,PBMC,4,5,CB6F1,saline_4_PBMC
GSM3407286,TriFLU_BL_4h_1,Female,Agrippal,PBMC,4,1,CB6F1,Agrippal_4_PBMC
GSM3407287,TriFLU_BL_4h_2,Female,Agrippal,PBMC,4,2,CB6F1,Agrippal_4_PBMC
GSM3407288,TriFLU_BL_4h_3,Female,Agrippal,PBMC,4,3,CB6F1,Agrippal_4_PBMC
GSM3407289,TriFLU_BL_4h_4,Female,Agrippal,PBMC,4,4,CB6F1,Agrippal_4_PBMC
GSM3407290,TriFLU_BL_4h_5,Female,Agrippal,PBMC,4,5,CB6F1,Agrippal_4_PBMC
GSM3407291,TriFLU-MF59_BL_4h_1,Female,Fluad,PBMC,4,1,CB6F1,Fluad_4_PBMC
GSM3407292,TriFLU-MF59_BL_4h_2,Female,Fluad,PBMC,4,2,CB6F1,Fluad_4_PBMC
GSM3407293,TriFLU-MF59_BL_4h_3,Female,Fluad,PBMC,4,3,CB6F1,Fluad_4_PBMC
GSM3407294,TriFLU-MF59_BL_4h_4,Female,Fluad,PBMC,4,4,CB6F1,Fluad_4_PBMC
GSM3407295,TriFLU-MF59_BL_4h_5,Female,Fluad,PBMC,4,5,CB6F1,Fluad_4_PBMC
GSM3407296,ENG_MLN_4h_1,Female,Engerix B,draining medial iliac lymph nodes (MLN),4,1,CB6F1,Engerix B_4_draining medial iliac lymph nodes (MLN)
GSM3407297,ENG_MLN_4h_2,Female,Engerix B,draining medial iliac lymph nodes (MLN),4,2,CB6F1,Engerix B_4_draining medial iliac lymph nodes (MLN)
GSM3407298,ENG_MLN_4h_3,Female,Engerix B,draining medial iliac lymph nodes (MLN),4,3,CB6F1,Engerix B_4_draining medial iliac lymph nodes (MLN)
GSM3407299,ENG_MLN_4h_4,Female,Engerix B,draining medial iliac lymph nodes (MLN),4,4,CB6F1,Engerix B_4_draining medial iliac lymph nodes (MLN)
GSM3407300,ENG_MLN_4h_5,Female,Engerix B,draining medial iliac lymph nodes (MLN),4,5,CB6F1,Engerix B_4_draining medial iliac lymph nodes (MLN)
GSM3407301,IFA_MLN_4h_1,Female,IFA,draining medial iliac lymph nodes (MLN),4,1,CB6F1,IFA_4_draining medial iliac lymph nodes (MLN)
GSM3407302,IFA_MLN_4h_2,Female,IFA,draining medial iliac lymph nodes (MLN),4,2,CB6F1,IFA_4_draining medial iliac lymph nodes (MLN)
GSM3407303,IFA_MLN_4h_3,Female,IFA,draining medial iliac lymph nodes (MLN),4,3,CB6F1,IFA_4_draining medial iliac lymph nodes (MLN)
GSM3407304,IFA_MLN_4h_4,Female,IFA,draining medial iliac lymph nodes (MLN),4,4,CB6F1,IFA_4_draining medial iliac lymph nodes (MLN)
GSM3407305,IFA_MLN_4h_5,Female,IFA,draining medial iliac lymph nodes (MLN),4,5,CB6F1,IFA_4_draining medial iliac lymph nodes (MLN)
GSM3407306,LPS_MLN_4h_1,Female,LPS,draining medial iliac lymph nodes (MLN),4,1,CB6F1,LPS_4_draining medial iliac lymph nodes (MLN)
GSM3407307,LPS_MLN_4h_2,Female,LPS,draining medial iliac lymph nodes (MLN),4,2,CB6F1,LPS_4_draining medial iliac lymph nodes (MLN)
GSM3407308,LPS_MLN_4h_3,Female,LPS,draining medial iliac lymph nodes (MLN),4,3,CB6F1,LPS_4_draining medial iliac lymph nodes (MLN)
GSM3407309,LPS_MLN_4h_4,Female,LPS,draining medial iliac lymph nodes (MLN),4,4,CB6F1,LPS_4_draining medial iliac lymph nodes (MLN)
GSM3407310,LPS_MLN_4h_5,Female,LPS,draining medial iliac lymph nodes (MLN),4,5,CB6F1,LPS_4_draining medial iliac lymph nodes (MLN)
GSM3407311,PERT_MLN_4h_1,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),4,1,CB6F1,Pentavac SD_4_draining medial iliac lymph nodes (MLN)
GSM3407312,PERT_MLN_4h_2,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),4,2,CB6F1,Pentavac SD_4_draining medial iliac lymph nodes (MLN)
GSM3407313,PERT_MLN_4h_3,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),4,3,CB6F1,Pentavac SD_4_draining medial iliac lymph nodes (MLN)
GSM3407314,PERT_MLN_4h_4,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),4,4,CB6F1,Pentavac SD_4_draining medial iliac lymph nodes (MLN)
GSM3407315,PERT_MLN_4h_5,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),4,5,CB6F1,Pentavac SD_4_draining medial iliac lymph nodes (MLN)
GSM3407316,PolyIC_MLN_4h_1,Female,PolyIC,draining medial iliac lymph nodes (MLN),4,1,CB6F1,PolyIC_4_draining medial iliac lymph nodes (MLN)
GSM3407317,PolyIC_MLN_4h_2,Female,PolyIC,draining medial iliac lymph nodes (MLN),4,2,CB6F1,PolyIC_4_draining medial iliac lymph nodes (MLN)
GSM3407318,PolyIC_MLN_4h_3,Female,PolyIC,draining medial iliac lymph nodes (MLN),4,3,CB6F1,PolyIC_4_draining medial iliac lymph nodes (MLN)
GSM3407319,PolyIC_MLN_4h_4,Female,PolyIC,draining medial iliac lymph nodes (MLN),4,4,CB6F1,PolyIC_4_draining medial iliac lymph nodes (MLN)
GSM3407320,PolyIC_MLN_4h_5,Female,PolyIC,draining medial iliac lymph nodes (MLN),4,5,CB6F1,PolyIC_4_draining medial iliac lymph nodes (MLN)
GSM3407321,SAL_MLN_4h_1,Female,saline,draining medial iliac lymph nodes (MLN),4,1,CB6F1,saline_4_draining medial iliac lymph nodes (MLN)
GSM3407322,SAL_MLN_4h_2,Female,saline,draining medial iliac lymph nodes (MLN),4,2,CB6F1,saline_4_draining medial iliac lymph nodes (MLN)
GSM3407323,SAL_MLN_4h_3,Female,saline,draining medial iliac lymph nodes (MLN),4,3,CB6F1,saline_4_draining medial iliac lymph nodes (MLN)
GSM3407324,SAL_MLN_4h_4,Female,saline,draining medial iliac lymph nodes (MLN),4,4,CB6F1,saline_4_draining medial iliac lymph nodes (MLN)
GSM3407325,SAL_MLN_4h_5,Female,saline,draining medial iliac lymph nodes (MLN),4,5,CB6F1,saline_4_draining medial iliac lymph nodes (MLN)
GSM3407326,TriFLU_MLN_4h_1,Female,Agrippal,draining medial iliac lymph nodes (MLN),4,1,CB6F1,Agrippal_4_draining medial iliac lymph nodes (MLN)
GSM3407327,TriFLU_MLN_4h_2,Female,Agrippal,draining medial iliac lymph nodes (MLN),4,2,CB6F1,Agrippal_4_draining medial iliac lymph nodes (MLN)
GSM3407328,TriFLU_MLN_4h_3,Female,Agrippal,draining medial iliac lymph nodes (MLN),4,3,CB6F1,Agrippal_4_draining medial iliac lymph nodes (MLN)
