Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL16624,"NimbleGen human 42M CGH array, 5 of 60 [2007-05-18_HG18_Sanger_CGH_05]","in situ oligonucleotide","Homo sapiens",699699,1,2,"Andy Pang","Feb 12, 2013"
GPL16625,"NimbleGen human 42M CGH array, 6 of 60 [2007-05-18_HG18_Sanger_CGH_06]","in situ oligonucleotide","Homo sapiens",716835,1,2,"Andy Pang","Feb 12, 2013"
GPL16626,"NimbleGen human 42M CGH array, 7 of 60 [2007-05-18_HG18_Sanger_CGH_07]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16627,"NimbleGen human 42M CGH array, 8 of 60 [2007-05-18_HG18_Sanger_CGH_08]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16628,"NimbleGen human 42M CGH array, 9 of 60 [2007-05-18_HG18_Sanger_CGH_09]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16629,"NimbleGen human 42M CGH array, 10 of 60 [2007-05-18_HG18_Sanger_CGH_10]","in situ oligonucleotide","Homo sapiens",714321,1,2,"Andy Pang","Feb 12, 2013"
GPL16630,"NimbleGen human 42M CGH array, 11 of 60 [2007-05-18_HG18_Sanger_CGH_11]","in situ oligonucleotide","Homo sapiens",716837,1,2,"Andy Pang","Feb 12, 2013"
GPL16631,"NimbleGen human 42M CGH array, 12 of 60 [2007-05-18_HG18_Sanger_CGH_12]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16632,"NimbleGen human 42M CGH array, 13 of 60 [2007-05-18_HG18_Sanger_CGH_13]","in situ oligonucleotide","Homo sapiens",716821,1,2,"Andy Pang","Feb 12, 2013"
GPL16633,"NimbleGen human 42M CGH array, 14 of 60 [2007-05-18_HG18_Sanger_CGH_14]","in situ oligonucleotide","Homo sapiens",707454,1,2,"Andy Pang","Feb 12, 2013"
GPL16634,"NimbleGen human 42M CGH array, 15 of 60 [2007-05-18_HG18_Sanger_CGH_15]","in situ oligonucleotide","Homo sapiens",716832,1,2,"Andy Pang","Feb 12, 2013"
GPL16635,"NimbleGen human 42M CGH array, 16 of 60 [2007-05-18_HG18_Sanger_CGH_16]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16636,"NimbleGen human 42M CGH array, 17 of 60 [2007-05-18_HG18_Sanger_CGH_17]","in situ oligonucleotide","Homo sapiens",716833,1,2,"Andy Pang","Feb 12, 2013"
GPL16637,"NimbleGen human 42M CGH array, 18 of 60 [2007-05-18_HG18_Sanger_CGH_18]","in situ oligonucleotide","Homo sapiens",706850,1,2,"Andy Pang","Feb 12, 2013"
GPL16638,"NimbleGen human 42M CGH array, 19 of 60 [2007-05-18_HG18_Sanger_CGH_19]","in situ oligonucleotide","Homo sapiens",716796,1,2,"Andy Pang","Feb 12, 2013"
GPL16639,"NimbleGen human 42M CGH array, 20 of 60 [2007-05-18_HG18_Sanger_CGH_20]","in situ oligonucleotide","Homo sapiens",716828,1,2,"Andy Pang","Feb 12, 2013"
GPL16640,"NimbleGen human 42M CGH array, 21 of 60 [2007-05-18_HG18_Sanger_CGH_21]","in situ oligonucleotide","Homo sapiens",716809,1,2,"Andy Pang","Feb 12, 2013"
GPL16641,"NimbleGen human 42M CGH array, 22 of 60 [2007-05-18_HG18_Sanger_CGH_22]","in situ oligonucleotide","Homo sapiens",714953,1,2,"Andy Pang","Feb 12, 2013"
GPL16642,"NimbleGen human 42M CGH array, 23 of 60 [2007-05-18_HG18_Sanger_CGH_23]","in situ oligonucleotide","Homo sapiens",716823,1,2,"Andy Pang","Feb 12, 2013"
GPL16643,"NimbleGen human 42M CGH array, 24 of 60 [2007-05-18_HG18_Sanger_CGH_24]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
