hgnc_symbol,treatment,pathogen,timepoint_comparison,status_original,rank_mouse,rank_human,sign_mouse,sign_concordant,mean_log2fc_mouse,mean_log2fc_human,pred_shared,pred_rank,pred_direction
GPR18,Injury,Burn,Early hours-Day 7,Human only,85.44131028207461,92.629663330300275,-1,TRUE,-0.6468383850462409,-2.1168492696326653,0.4892252525252524,67.42901430162985,0.9989333333333333
GPR18,Injury,Burn,Early hours-Day 7,Shared,85.44131028207461,92.629663330300275,-1,TRUE,-0.6468383850462409,-2.1168492696326653,0.4892252525252524,67.42901430162985,0.9989333333333333
GRINA,Injury,Burn,Early hours-Day 7,Human only,98.31665150136489,94.49499545040946,1,TRUE,1.8587154605653549,2.4112626643092607,NA,74.42312517990167,0.9490041666666668
GRN,Injury,Burn,Early hours-Day 7,Shared,94.44949954504095,32.84804367606915,1,TRUE,1.129295021582383,0.9960890357749381,0.7352426366942313,65.29341783858031,0.9982000000000001
GRN,Injury,Burn,Early hours-Day 7,Human only,94.44949954504095,32.84804367606915,1,TRUE,1.129295021582383,0.9960890357749381,0.7352426366942313,65.29341783858031,0.9982000000000001
GZMA,Injury,Burn,Early hours-Day 7,Human only,9.963603275705186,93.94904458598727,-1,TRUE,-0.08017861433669715,-2.2686759161690317,NA,78.85791316990513,0.30497777777777785
GZMK,Injury,Burn,Early hours-Day 7,Human only,68.47133757961782,97.17925386715196,-1,TRUE,-0.7154918904431726,-2.4982417770093432,0.7578404822056851,62.15209852980193,0.28295
GZMK,Injury,Burn,Early hours-Day 7,Shared,68.47133757961782,97.17925386715196,-1,TRUE,-0.7154918904431726,-2.4982417770093432,0.7578404822056851,62.15209852980193,0.28295
HCK,Injury,Burn,Early hours-Day 7,Shared,96.45131938125569,86.35122838944494,1,TRUE,1.2849326574610238,1.711171058364747,0.8687635926804086,74.88911266430723,0.4819481481481481
HCK,Injury,Burn,Early hours-Day 7,Mouse only,96.45131938125569,86.35122838944494,1,TRUE,1.2849326574610238,1.711171058364747,0.8687635926804086,74.88911266430723,0.4819481481481481
HK3,Injury,Burn,Early hours-Day 7,Shared,96.7697907188353,97.8616924476797,1,TRUE,1.868132843088075,2.7620971565432266,0.9131902319902319,88.66393215825057,1
HLX,Injury,Burn,Early hours-Day 7,Mouse only,89.53594176524113,81.8926296633303,1,TRUE,1.2993304076015804,1.2766428713456852,0.8550647186147184,60.55812506374274,0.5032494587532661
HMGB2,Injury,Burn,Early hours-Day 7,Shared,95.4504094631483,78.75341219290264,1,TRUE,1.2141544836443057,0.9991610277006213,0.7564730158730159,73.43691376966252,0.8770698412698414
HMOX1,Injury,Burn,Early hours-Day 7,Shared,98.77161055505005,42.40218380345769,1,TRUE,2.2393906303724,1.1324766835039366,0.8302418787906994,67.7463453032513,0.7437564015202027
HMOX1,Injury,Burn,Early hours-Day 7,Mouse only,98.77161055505005,42.40218380345769,1,TRUE,2.2393906303724,1.1324766835039366,0.8302418787906994,67.7463453032513,0.7437564015202027
HOPX,Injury,Burn,Early hours-Day 7,Human only,38.48953594176524,88.89899909008189,1,FALSE,0.2616665010200556,-1.7815763859449039,NA,85.73914988169717,0.8485333333333334
HPSE,Injury,Burn,Early hours-Day 7,Human only,76.93357597816195,66.87898089171973,1,TRUE,0.5269384560632222,1.302241716958958,NA,77.23403579224644,0.9266327149895769
HTRA1,Injury,Burn,Early hours-Day 7,Human only,9.326660600545951,26.706096451319382,1,TRUE,0.13723847973721348,0.8446778680121763,NA,41.676900751136806,0.9594095238095236
ICOS,Injury,Burn,Early hours-Day 7,Human only,45.58689717925387,53.912647861692456,-1,TRUE,-0.393280279891302,-1.0411815799951087,NA,56.598942623283754,1
IFI30,Injury,Burn,Early hours-Day 7,Human only,80.30027297543221,51.54686078252957,1,TRUE,0.5526083070499812,1.078186821016848,NA,36.174545892723735,0.9016604259861226
IFIH1,Injury,Burn,Early hours-Day 7,Mouse only,93.67606915377617,69.01728844404003,1,FALSE,1.2050324385653806,-1.5008727766887984,0.6903046751580033,63.717201745207035,0.7715766591251882
IL18R1,Injury,Burn,Early hours-Day 7,Mouse only,54.14012738853503,99.59053685168335,-1,FALSE,-0.4317088746448068,3.378317399289254,0.7834070028011203,83.7126491895327,0.297440350877193
IL18RAP,Injury,Burn,Early hours-Day 7,Shared,95.76888080072793,98.36214740673338,1,TRUE,1.3500330772002567,2.2078829481293747,0.8327431077694231,87.66073234631455,0.9995
IL1R1,Injury,Burn,Early hours-Day 7,Human only,39.53594176524113,78.79890809827116,1,TRUE,0.6313855226681975,1.4400414480996857,NA,60.69068824275594,0.3953333333333334
IL1R2,Injury,Burn,Early hours-Day 7,Shared,99.7270245677889,95.76888080072793,1,TRUE,3.387467272323704,2.2162194170232947,0.6373426046683117,83.01728616652153,1
IL1R2,Injury,Burn,Early hours-Day 7,Mouse only,99.7270245677889,95.76888080072793,1,TRUE,3.387467272323704,2.2162194170232947,0.6373426046683117,83.01728616652153,1
IL1RN,Injury,Burn,Early hours-Day 7,Shared,97.40673339399454,79.02638762511374,1,TRUE,2.1052901121647825,1.2400603043104867,0.7879374623942733,75.52785583059008,1
IL1RN,Injury,Burn,Early hours-Day 7,Mouse only,97.40673339399454,79.02638762511374,1,TRUE,2.1052901121647825,1.2400603043104867,0.7879374623942733,75.52785583059008,1
IL21R,Injury,Burn,Early hours-Day 7,Human only,56.005459508644215,88.0800727934486,-1,TRUE,-0.5041051118679869,-1.6079366748292578,NA,78.55279911583948,0.9447523809523811
