MM.Entrez,row,EffectSize,condition
11443,11443,0.15639398285349193,Fluad_24_PBMC
11443,11443,0.17054874690277844,Fluad_48_PBMC
11443,11443,-0.1445571544187334,Fluad_72_PBMC
11443,11443,0.02848201845953824,Fluad_168_PBMC
11444,11444,-0.36444208106575604,Fluad_4_PBMC
11444,11444,-0.10947272914616679,Fluad_8_PBMC
11444,11444,-0.1526163142373873,Fluad_24_PBMC
11444,11444,-0.23286958894897136,Fluad_48_PBMC
11444,11444,-0.1163370013144922,Fluad_72_PBMC
11444,11444,-0.22086076146815037,Fluad_168_PBMC
11447,11447,0.08020976995989892,Fluad_4_PBMC
11447,11447,0.33267787006330907,Fluad_8_PBMC
11447,11447,0.4221726765197469,Fluad_24_PBMC
11447,11447,0.15419063283903722,Fluad_48_PBMC
11447,11447,0.05884066143013089,Fluad_72_PBMC
11447,11447,0.09116945842466428,Fluad_168_PBMC
11448,11448,0.010130554605653597,Fluad_4_PBMC
11448,11448,0.3114831807509224,Fluad_8_PBMC
11448,11448,0.2099116812216546,Fluad_24_PBMC
11448,11448,0.053560470932292104,Fluad_48_PBMC
11448,11448,-0.006080761323328909,Fluad_72_PBMC
11448,11448,-0.0523079302877647,Fluad_168_PBMC
11449,11449,0.16366683178645003,Fluad_4_PBMC
11449,11449,0.02898582740962219,Fluad_8_PBMC
11449,11449,0.1423522594202975,Fluad_24_PBMC
11449,11449,0.2280670875521409,Fluad_48_PBMC
11449,11449,0.24816604171487722,Fluad_72_PBMC
11449,11449,0.26704680216334253,Fluad_168_PBMC
11450,11450,-0.1408896225388263,Fluad_4_PBMC
11450,11450,-0.12500843771953374,Fluad_8_PBMC
11450,11450,0.21576311453907016,Fluad_24_PBMC
11450,11450,-0.06751098440474568,Fluad_48_PBMC
11450,11450,-0.0020123277126202765,Fluad_72_PBMC
11450,11450,-0.30093277091903525,Fluad_168_PBMC
11461,11461,0.027664372433203077,Fluad_4_PBMC
11461,11461,0.027664372433203077,Fluad_4_PBMC
11461,11461,0.004218928373600939,Fluad_8_PBMC
11461,11461,0.004218928373600939,Fluad_8_PBMC
11461,11461,0.012773955861828945,Fluad_24_PBMC
11461,11461,0.012773955861828945,Fluad_24_PBMC
11461,11461,0.025568660070747207,Fluad_48_PBMC
11461,11461,0.025568660070747207,Fluad_48_PBMC
11461,11461,0.006274145162196376,Fluad_72_PBMC
11461,11461,0.006274145162196376,Fluad_72_PBMC
11461,11461,0.022079776409176688,Fluad_168_PBMC
11461,11461,0.022079776409176688,Fluad_168_PBMC
11464,11464,-0.12411906332313527,Fluad_4_PBMC
11464,11464,-0.34662002588831187,Fluad_8_PBMC
11464,11464,0.2897491783386468,Fluad_24_PBMC
11464,11464,0.4240226219569627,Fluad_48_PBMC
11464,11464,0.2664246536786823,Fluad_72_PBMC
11464,11464,0.35202369437339387,Fluad_168_PBMC
11465,11465,0.048465177614208876,Fluad_4_PBMC
11465,11465,0.008422987779731272,Fluad_8_PBMC
11465,11465,-0.0029701229412615326,Fluad_24_PBMC
11465,11465,0.0369051962136826,Fluad_48_PBMC
11465,11465,0.009269684575889503,Fluad_72_PBMC
11465,11465,0.023317298943366094,Fluad_168_PBMC
11468,11468,-0.07222303341733038,Fluad_4_PBMC
11468,11468,-0.014128239439779033,Fluad_8_PBMC
11468,11468,-0.1592585305569676,Fluad_24_PBMC
11468,11468,0.017708111806880922,Fluad_48_PBMC
11468,11468,-0.11416253816642818,Fluad_72_PBMC
11468,11468,-0.12152662411419923,Fluad_168_PBMC
11470,11470,0.11878337103639947,Fluad_4_PBMC
11470,11470,0.33040011158137705,Fluad_8_PBMC
11470,11470,0.44772685110476873,Fluad_24_PBMC
11470,11470,0.516389170975768,Fluad_48_PBMC
11470,11470,0.5821195392519543,Fluad_72_PBMC
11470,11470,0.40749125479606985,Fluad_168_PBMC
11471,11471,0.0976904934722631,Fluad_4_PBMC
11471,11471,0.12021193420337806,Fluad_8_PBMC
11471,11471,0.2556425022054871,Fluad_24_PBMC
11471,11471,0.1210798525691763,Fluad_48_PBMC
11471,11471,0.13173831116821288,Fluad_72_PBMC
11471,11471,0.08778942160625891,Fluad_168_PBMC
11472,11472,-0.20805261300644617,Fluad_4_PBMC
11472,11472,-0.298865715168531,Fluad_8_PBMC
11472,11472,-0.049207312259315295,Fluad_24_PBMC
11472,11472,-0.15526397800856295,Fluad_48_PBMC
11472,11472,-0.0715706453968421,Fluad_72_PBMC
11472,11472,-0.18158212308874577,Fluad_168_PBMC
11475,11475,0.161584711103834,Fluad_4_PBMC
11475,11475,0.12082123761741004,Fluad_8_PBMC
11475,11475,0.00923575091837403,Fluad_24_PBMC
11475,11475,-0.023540854627636776,Fluad_48_PBMC
11475,11475,-0.03377735166421125,Fluad_72_PBMC
11475,11475,0.0859906180921497,Fluad_168_PBMC
11477,11477,0.018448768858888354,Fluad_4_PBMC
11477,11477,-0.0658206839793336,Fluad_8_PBMC
11477,11477,-0.0312007866167594,Fluad_24_PBMC
11477,11477,-0.08912794357240195,Fluad_48_PBMC
11477,11477,-0.07118503237093332,Fluad_72_PBMC
11477,11477,-0.10066497741085323,Fluad_168_PBMC
11479,11479,0.008404855862067961,Fluad_4_PBMC
11479,11479,-0.025101479532588566,Fluad_8_PBMC
11479,11479,-0.3537113221454775,Fluad_24_PBMC
11479,11479,-0.08181297564162637,Fluad_48_PBMC
